5dc,SKU,QTY,Location
30661,R3225-20-BK-DL,19,C11-L3-P2
30661,R3225-20-BK-DL,25,C12-L4-P2
30092,R3226-20-BK-DL,17,C12-L5-P2
30058,R3226-40-BK-DL,20,C12-L6-P2
37040,R2206-WH-WW-V1,66,C14-L6-P1
30598,R9998-V1,4,C14-L6-P1
30763,R2151-SC-O-CW,61,D09-L4-P2
30850,R2152-SC-C-CW,24,D09-L4-P2
30831,R2152-SC-C-WW,114,D09-L4-P2
30306,R2152-WH-C-CW,4,D09-L4-P2
30410,R2152-WH-O-CW,4,D09-L4-P2
30263,R2152-WH-O-WW,35,D09-L4-P2
30709,R2590-BK-CW,1,D09-L4-P2
30287,R2590-BK-WW,2,D09-L4-P2
30025,R2590-RM-WH-CW,1,D09-L4-P2
69655,R2592-BK-WW,3,D09-L4-P2
30363,R2592-D-WH-CW,1,D09-L4-P2
30595,R2593-D-BK-WW,9,D09-L4-P2
30266,R2593-D-WH-CW,8,D09-L4-P2
31648,R-SLGP1-WH-V1,200,D12-L3-P1
31655,R-SLGP2-WH-V1,400,D12-L3-P1
31676,R-SLGP3-WH-V1,100,D12-L3-P1
31699,R-SLGP4-WH-V1,197,D12-L3-P1
31597,R-SLSW1-WH-V1,800,D12-L3-P1
31619,R-SLSW2-WH-V1,800,D12-L3-P1
31350,R-SLGPO2-WH-V1,2999,D13-L7-P1
31330,R-SLGPO1-WH-V1,999,D14-L6-P1
31644,R-SLSW3-WH-V1,499,D14-L6-P1
31369,R-SLGPO2-15-WH-V1,200,D15-L5-P1
31374,R-SLGPO2X-WH-V1,99,D15-L5-P1
31597,R-SLSW1-WH-V1,999,D15-L5-P1
31683,R-SLSW5-WH-V1,199,D15-L5-P1
31549,R-GP1-WH-V1,1200,G14-L4-P1
31563,R-GP2-WH-V1,1400,G14-L4-P1
31587,R-GP4-WH-V1,400,G14-L4-P1
31377,R-GPO1-15-WH-V1,100,G14-L4-P1
31549,R-GP1-WH-V1,1379,G15-L4-P1
31563,R-GP2-WH-V1,1480,G15-L4-P1
31569,R-GP3-WH-V1,1200,G15-L4-P1
31428,R-HDMI,1000,G15-L4-P2
31782,R-TVF-F-V1,1000,G15-L4-P2
31736,R-TVPAL-F,980,G15-L4-P2
31503,R-UMB,5000,G15-L4-P2
31597,R-SLSW1-WH-V1,729,G15-L5-P1
31619,R-SLSW2-WH-V1,357,G15-L5-P1
31644,R-SLSW3-WH-V1,317,G15-L5-P1
31659,R-SLSW4-WH-V1,153,G15-L5-P1
31683,R-SLSW5-WH-V1,75,G15-L5-P1
31299,R-SLSW6-WH-V1,82,G15-L5-P1
31588,R-SLBP-WH-V1,199,G16-L4-P1
31648,R-SLGP1-WH-V1,1000,G16-L4-P1
31655,R-SLGP2-WH-V1,1020,G16-L4-P1
31676,R-SLGP3-WH-V1,500,G16-L4-P1
31699,R-SLGP4-WH-V1,500,G16-L4-P1
31722,R-SLGP5-WH-V1,200,G16-L4-P1
31750,R-SLGP6-WH-V1,200,G16-L4-P1
31369,R-SLGPO2-15-WH-V1,100,G16-L4-P1
31299,R-SLSW6-WH-V1,200,G16-L4-P1
31341,R-SLGPO1-15-WH-V1,300,G17-L4-P1
31350,R-SLGPO2-WH-V1,36,G17-L4-P1
31597,R-SLSW1-WH-V1,14,G17-L4-P1
31619,R-SLSW2-WH-V1,993,G17-L4-P1
31644,R-SLSW3-WH-V1,18,G17-L4-P1
31659,R-SLSW4-WH-V1,202,G17-L4-P1
31683,R-SLSW5-WH-V1,1,G17-L4-P1
31299,R-SLSW6-WH-V1,3,G17-L4-P1
31588,R-SLBP-WH-V1,179,G17-L4-P2
31648,R-SLGP1-WH-V1,202,G17-L4-P2
31722,R-SLGP5-WH-V1,40,G17-L4-P2
31750,R-SLGP6-WH-V1,39,G17-L4-P2
31330,R-SLGPO1-WH-V1,124,G17-L4-P2
31369,R-SLGPO2-15-WH-V1,38,G17-L4-P2
31350,R-SLGPO2-WH-V1,49,G17-L4-P2
31374,R-SLGPO2X-WH-V1,104,G17-L4-P2
31597,R-SLSW1-WH-V1,2,G17-L4-P2
31486,R-SM16-V1,239,G17-L4-P2
31279,R-SW1-WH-V1,3,G17-L4-P2
31296,R-SW3-WH-V1,5,G17-L4-P2
31307,R-SW4-WH-V1,64,G17-L4-P2
31333,R-SW5-WH-V1,1,G17-L4-P2
31569,R-GP3-WH-V1,80,G17-L5-P1
31587,R-GP4-WH-V1,980,G17-L5-P1
31607,R-GP5-WH-V1,511,G17-L5-P1
31624,R-GP6-WH-V1,578,G17-L5-P1